Company Name,Website Link
AFT Wealth Management Ltd,
Money Penny Wealth Management Limited,mpwealth.co.uk
Taylor Hartley Limited,taylorhartley.com
Marshall Pension & Financial Planning Ltd,marshallpfp.co.uk
Fergus Westwood,claytondenefp.co.uk
Newcastle Financial Advisers Limited,newcastle.co.uk
Four Rivers Financial Planning Limited,mandg.com
River Birch Newman Limited,rbnwealth.com
Lowes Financial Management Limited,lowes.co.uk
Professional Wealth Management Ltd,professionalwealthmanagement.co.uk
Professional Wealth Management (Yorkshire) Ltd,pwmy.co.uk
Professional Wealth Management Investment Services Limited,pwmis.co.uk
Robson Laidler Financial Planning Limited,robson-laidler.co.uk/wealth
Walker Harrison Associates,rbsint.com
Chris Gooding (IFA) Ltd,chris-gooding.co.uk
Portland Financial Management Limited,pfm-uk.com
Laurus Associates Limited,laurusassociates.co.uk
Karen Richardson Financial Services Limited,krfinancialservices.co.uk
Broad Chare Partnership LLP,broadcharepartners.co.uk
True Potential Wealth Management LLP,tpllp.com
Henry F Dodds Wealth Management Limited,hfdoddswealth.co.uk
Penda Financial Management Ltd,pendafm.co.uk
Giraffe Financial LLP,giraffefinancial.com
Charles Derby Wealth Management Limited,charlesderbywm.com
Womble Bond Dickinson Wealth Limited,womblebonddickinsonwealth.com
Leazes Quadrus Financial Planning Ltd,leazesquadrus.co.uk
Jesalant Limited,lsmwealth.co.uk
Lycetts Financial Services Limited,lycetts.co.uk
Howard Muir Associates LLP,investmentcompanion.com
2mtrust,2mtrust.com
Kevin Gardner,gardnerwealthmanagement.co.uk
Rutherford Hughes Limited,rutherfordhughes.com
Ben Hughes,doxfordfinancial.co.uk
Murray Trudt,partnership.sjp.co.uk/partner/murraytrudt
Simon Quinlan,quinlanfp.co.uk
Stephen King,kingwealthmanagement.co.uk
Chris Davis,haywarddavis.co.uk
Southlands Financial Services Ltd,southlandsfinancialservicesltd.co.uk
Zebra Wealth Management Limited,partnership.sjp.co.uk/partner/stevenbates
Abacus Wealth Management Ltd,abacuswm.co.uk
Meridian Advice,meridianadvice.co.uk
Jo-Ann Dalrymple,partnership.sjp.co.uk/partner/joanndalrymple
The Grove Private Wealth Ltd,thegroveprivatewealthltd.co.uk
Anne Gibson Financial Services,annegibsonsjp.co.uk/partner/annegibsonfinancial
Matthew Ife,matthewife.co.uk
Eric Dhugal Bennett,
Claire McKenna,
Ryan McGuinness,1894privatewealth.co.uk
Natalie Turner,natalieturnerwealthmanagement.co.uk
George Barker,
Crathorne Wealth Management Ltd,partnership.sjp.co.uk/partner/crathornewm
Tulloch Wealth Management Limited,partnership.sjp.co.uk/partner/samanthatulloch
Carl Turnbull,sjpp.co.uk/carlturnbull
Prism Financial Advice Limited,prismadvice.co.uk
Bruce & Co Legal & Financial Ltd,bruce-ifa.co.uk
Steven Wombwell,stevewombwell.co.uk
Shaun Carr Financial Services Limited,shauncarrfinancialservices.co.uk
Peritus Private Finance Limited,peritusprivatefinance.co.uk
Michael Westwood,michaelwestwoodwealthmanagement.co.uk
John Wight,johnwightwealthmanagement.co.uk
Baxter Pearse Financial Consultants Limited,baxterpearse.co.uk
WPS ADVISORY Ltd,wpsadvisory.com
Quay Life Wealth Management Ltd,quaylifewm.co.uk
Clare Clarkson Wealth Management Limited,clareclarkson.co.uk
Accura Wealth Management Ltd,allisonandhall.com
Global Wealth Management Limited,chrisbuckland.co.uk
Hollycroft Financial Services Ltd,hollycroftfs.co.uk
HRC Innovative Financial Planning Ltd,hrcgroup.net
Daniel Atkinson,
B-Advised Ltd,b-advised.co.uk
Global Expatriates Limited,globalexpatriates.co.uk
Trust KB2 Limited,trustkb.co.uk
Seven Stars Private Wealth Limited,2plan.com
Amethyst Independent Financial Advisers LLP,amethyst-ifa.com
Bede Wealth Management Limited,bedewealth.co.uk
HJ Wealth Management Ltd,hjwm.co.uk
M.R.C Financial Planning Ltd,
Carr Financial Planning Ltd,carrfinancialplanning.co.uk
Smithson Wealth Management Limited,partnership.sjp.co.uk/partner/smithsonwm
Philip Lancaster,partnership.sjp.co.uk/partner/philiplancaster
Mark Patterson Financial Planning Limited,partnership.sjp.co.uk/partner/markpattersonfp
Steadfast Wealth Management Ltd,steadfastwm.co.uk
Longsands Financial Planning Ltd,longsandsfp.co.uk
Cornerstone Financial Group Ltd,firstmortgage.co.uk
RJH Mortgage and Financial Services Limited,
Aviyon Finance Ltd,
David Ridley,reliancefinancial.co.uk
Bonnie Robinson,
Financial Solutions (N.E.) Ltd,financialsolutionsne.co.uk
Joseph Ferguson,mandg.com
Andrew Christopher Wright,
Stephen Burns Financial Planning,stephen-burns.co.uk
Milburn Davies Partnership Limited,milburndavies.co.uk
Rippon Financial Management Limited,rfmltd.co.uk
Craig Giles Wealth Management LTD,mandgwealth.com/craiggileswealthmanagement
Stephen McDine Limited,positivewealthmanagement.tppowered.com
Seven Bridges IM Ltd,sevenbridgesim.co.uk
Wellspring Financial,wellspringfinancial.co.uk
Intouch Financial Advice Limited,intouchfinancial.uk.com
James Hutchins,partnership.sjp.co.uk/partner/jameshutchins
Nine Oak Financial Management,nineoak.co.uk
Peacock Financial Management Ltd,pfm-ltd.com
Paul Whitehead,pwfinancialservices.co.uk
Jason Savage Financial Planning Limited,
Aspire Wealth Limited,aspirewealthlimited.co.uk
Emerald Financial Associates Ltd,emeraldassociates.co.uk
Byron Longstaff Independent Financial Consultancy Ltd,
Patrick McLaughlin,northwealthmanagement.co.uk
Halcyon Wealth Management Ltd,halcyonwm.co.uk
McLean Financial Planning,
MFS Limited,mfs-limited.co.uk
Verity Wealth Management LLP,veritywm.co.uk
Dean Gillespie Financial Advice LTD,mandgwealth.com/deangillespiefinancialadvice
Stephen Boyle Wealth Management Limited,stephenboylewealthmanagement.co.uk
Wood Kirkbride Independent Financial Advisers Limited,woodkirkbride-ifa.com
Anthony Cunningham,cwfinancialmanagement.co.uk
BMC Wealth Management LTD,mandgwealth.com/bmcwealthmanagement
Northern Spire Limited,sjpp.co.uk/northernspire
Access Wealth Management,accesswm.co.uk
Lifeplan Financial Management Limited,lifeplanfm.co.uk
Life Cover For All Limited Liability Partnership,lifecoverforall.co.uk
Joseph Bonallie,ifne.co.uk
CDC Wealth Management Limited,cdcwm.com
Suzy Hall,
Jim Paul and Associates Limited,jimpaulassociates.co.uk
Advanced IFA Ltd,advancedifa.co.uk
MJW Financial Planning Ltd,mjwfinancialplanning.co.uk
Matlock Wealth Management Limited,sjpp.co.uk/darrenmatlock
Mark McNally Wealth Management Limited,sjpp.co.uk/markmcnally
GKB Financial Planning Ltd,gkbfinancialplanning.co.uk
KSM Associates Independent Financial Advisers Limited,ksm-associates.co.uk
Adamson Financial Planning LTD,mandg.com/adamsonfinancialplanning
Pia Financial Services Ltd,openwork.uk.com
Dracup Financial Services Limited,partnership.sjp.co.uk/partner/neildracup
Kinetic Private Investments Limited,kpi.co.uk
Stephen Hope,stephenhopewealthmanagement.com
Saxon Financial Advice Limited,saxonfinancialadvice.co.uk
TTR Barnes (Financial Services) Limited,key-wealth.com
Later Life Wealth Management Limited,laterlifewealthmanagement.co.uk
Harlands Wealth Management Ltd,hwmfinancial.co.uk
Morrell Financial Management Ltd,morrellfinancialmanagement.com
Scrimger & Oakes Limited,scrimgerandoakes.co.uk
Three Counties Limited,three-counties.co.uk
Richardson & Associates Independent Financial & Mortgage Services Limited,richardsonassociatesifa.co.uk
Sage Wealth Management Ltd,sagewm.co.uk
Harkertine Consultants Ltd,
Independent Financial Advice Bureau Limited,ifabureau.com
Hudson & Rogers Financial Planning Ltd,hudsonandrogersfinancial.co.uk
Mark Redpath,sjpp.co.uk/northbridge
City Financial Solutions Limited,cityfinancialsolutions.com
Oracle Financial Planning Ltd,oraclefp.co.uk
DMH Private Wealth Limited,dmhwealth.co.uk
Manfield Wealth Management Limited,manfieldwealth.co.uk
Fairstone Financial Management Limited,fairstone.co.uk
Fairstone Private Wealth Limited,fairstone.co.uk/private-wealth
Fairstone Wealth Management Limited,fairstone.co.uk
Parlett Financial Limited,parlettfinancial.co.uk
Prestige Financial Planners Limited,prestigefinancialplanners.co.uk
Centurion Financial Planning Limited,centurionfp.co.uk
Bloomfield Financial Limited,bloomfieldfinancial.co.uk
Lyons Financial Management 2001 Limited,lyonsfinancialmanagement.co.uk
Advice & Solutions Ltd,advice-solutions.com
Kevin Wright,
Brown & Sutherland Associates Limited,brownandsutherland.co.uk
Consortium Wealth Management Limited,consortiumwmltd.co.uk
Wealth of Advice Ltd,wealthofadvice.co.uk
Primary Financial Management Limited,primaryfinancial.co.uk
Northumbria Financial Management Limited,northumbriafm.co.uk
Hedgehope Limited,hedgehope.co.uk
Dominic Middlemiss,djmfp.co.uk
KWM (FP) Ltd,kwmfp.co.uk
GCA Financial Planning Ltd,
Financial Dimensions UK Ltd,financialdimensions.co.uk
Matthew Lee Platt,mlpfinancial.co.uk
Ian Harrison Independent Financial Services Limited,ianharrison-ifa.co.uk
Thoroughgood Advisors Limited,
Peter Bryce Curry,partnership.sjp.co.uk/partner/petercurry
Fathom Financial Limited,fathomfinancial.co.uk
Anchor Wealth Management Limited,anchorwmltd.co.uk
DMB Wealth Management Ltd,dmbwealthmanagement.co.uk
T B Patterson Associates,
Principled Limited,principled.eco
Philip Watson & Mandy Watson,lighthousefa.co.uk
MGL Wealth Management Ltd,mglwealthmanagement.co.uk
Tallow Financial Planning Limited,tallowfp.com
Michael Kyle Wealth Management Ltd,michaelkylewm.co.uk
Jads Financial Services,
Select Financial Solutions North East LLP,sfsne.co.uk
Andrea Irving-Morse Associates Limited,aima.org.uk
North Trail Financial PLanning LTD,mandgwealth.com/northtrailfinancialplanning
SGW Wealth Management Ltd,
Hauxwell Wealth Management Limited,hauxwellwealthmanagement.co.uk
AJC Financial Limited,partnership.sjp.co.ukpartnerandrewcoward
David Marshall,partnership.sjp.co.uk/partner/davidmarshallwm
Hodge Wealth Management Ltd,hodgewealthmanagement.co.uk
Fangdale Financial Ltd,
Greenhill Wealth Management Limited,greenhillwealth.co.uk
Harrison Brown Financial Services Ltd,harrisonbrown.co.uk
Eldon Financial Planning Ltd,eldonfinancial.co.uk
Your Finances Limited,yourfinancesltd.com
Hogarth Wealth Management Limited,hogarthwealthmanagement.co.uk
Novus Wealth Management Limited,novuswealth.co.uk
